round_id,crash_point,total_bet,total_win,net_profit,avg_odds,num_bets,num_cashouts
32549368,2.17,8776288.190000005,8140684.059999999,-635604.1300000064,1.5510000000000002,101,10
32549412,2.06,9846502.300000003,8932885.160000002,-913617.1400000006,1.5037500000000001,127,8
32549446,7.34,7236723.480000001,14950815.549999997,7714092.069999996,2.628214285714286,126,28
32549480,1.44,6397027.319999999,558146.6,-5838880.72,1.22,98,3
32549529,2.94,5876706.74,8026432.069999999,2149725.329999999,2.048,115,15
32549556,3.06,8235252.12,8832006.39,596754.2700000005,1.9783333333333328,106,18
32549596,1.99,5983962.720000003,3521825.8200000003,-2462136.900000003,1.3366666666666667,111,6
32549633,1.39,4037936.1800000016,0,-4037936.1800000016,0,122,0
32549670,1.02,4507150.93,0,-4507150.93,0,126,0
32549695,9.33,4186273.7900000024,7234231.98,3047958.189999998,2.976666666666667,113,27
32549720,15.33,8705679.430000002,17999793.959999993,9294114.529999992,2.962413793103448,98,29
32549772,1.99,6717938.840000003,1234480.58,-5483458.260000003,1.4187500000000002,87,8
32549845,1.2,5965974.88,0,-5965974.88,0,120,0
32549878,1,3949841.930000002,0,-3949841.930000002,0,123,0
32549902,1.38,3781776.6300000018,0,-3781776.6300000018,0,100,0
32549925,1.61,4853950.820000001,843416.7300000001,-4010534.0900000012,1.29,121,3
32549955,1.32,4823720.150000001,0,-4823720.150000001,0,116,0
32549981,9.07,6286810.450000002,14623946.020000003,8337135.570000001,3.230689655172413,111,29
32550006,19.1,4742150.249999999,9624054.87,4881904.62,3.441,89,30
32550063,2.56,8771548.230000002,5640630.82,-3130917.410000002,1.6384615384615384,92,13
32550140,1,4795304.54,0,-4795304.54,0,117,0
32550176,1.24,3320331.27,0,-3320331.27,0,119,0
32550199,1.62,3203094.26,0,-3203094.26,0,115,0
32550224,10.62,6717039.220000002,9798689.860000001,3081650.6399999997,2.974285714285714,119,28
32550254,2.38,5174772.36,2103651.4899999998,-3071120.8700000006,1.8236363636363635,90,11
32550311,1.54,5089564.740000002,940805.38,-4148759.360000002,1.27,117,2
32550349,2.02,5127793.6400000015,2068864.96,-3058928.6800000016,1.364,110,5
32550384,1.14,6403225.1000000015,0,-6403225.1000000015,0,115,0
32550417,1.79,6116753.420000001,3860696.8200000008,-2256056.6,1.4560000000000002,119,5
32550438,1.32,4135689.29,0,-4135689.29,0,112,0
32550470,6.08,3609623.309999999,5515877.04,1906253.730000001,3.036,125,25
32550506,1.2,9309814.29,32269.18,-9277545.11,1.06,108,1
32550549,1.61,8015187.590000003,3566279.68,-4448907.910000002,1.116666666666667,126,3
32550574,1.02,9747586.879999999,0,-9747586.879999999,0,113,0
32550601,2.09,6276851.580000003,4300263.340000001,-1976588.240000002,1.536,106,5
32550626,2.55,10756908.010000007,11481921.46,725013.4499999937,1.721,113,10
32550659,3.71,11797842.130000003,12519369.459999999,721527.3299999963,1.9371428571428575,115,21
32550699,7.06,6838187.269999998,19371792.87,12533605.600000003,3.131666666666667,114,30
32550737,1.93,13139047.840000007,1556900.97,-11582146.870000007,1.295,92,6
32550787,3.64,5470287.610000002,6165965.35,695677.7399999974,2.2477777777777774,122,18
32550824,2.43,8200113.870000002,8009127.880000001,-190985.99000000115,1.741176470588235,109,17
32550863,1.73,7053407.35,5274343.4,-1779063.9499999993,1.3675000000000002,106,8
32550897,1.19,4165917.9099999997,36212.11,-4129705.8,1.05,115,1
32550928,1.57,4537964.529999999,1246740.51,-3291224.0199999996,1.205,113,2
