timestamp,round_id,crash_point
1747078236.9275622,32559234,1.29
1747078254.4467735,32559268,2.21
1747078271.062952,32559293,1.92
1747078284.6475043,32559328,1.23
1747078298.1319487,32559354,1.21
1747078316.8149548,32559385,2.65
1747078339.1264408,32559411,4.46
1747078365.1262803,32559447,6.97
1747078383.6552408,32559492,2.6
1747078399.7632835,32559544,1.77
1747078427.1710865,32559578,8.06
1747078441.690068,32559610,1.4
1747078464.5731657,32559662,4.8
1747078482.9955163,32559689,2.56
1747078498.1379528,32559731,1.5
1747078512.2252195,32559769,1.3
1747078529.7890952,32559795,2.23
1747078549.0296972,32559825,2.89
1747078569.4634445,32559859,3.44
1747078586.9839559,32559893,2.22
1747078605.0412824,32559937,2.41
1747078625.3206942,32559971,3.37
1747078637.702976,32560009,1.08
1747078656.4136212,32560049,2.69
1747078672.505204,32560069,1.77
1747078686.6994998,32560105,1.33
1747078699.3715482,32560142,1.11
1747078715.0327866,32560169,1.64
1747078730.2447264,32560191,1.53
1747078775.119726,32560222,30.45
1747078793.208436,32560253,2.43
1747078811.3883088,32560341,2.45
1747078830.931887,32560375,3.02
1747078846.8902102,32560412,1.73
1747078862.199072,32560451,1.57
1747078876.5456119,32560485,1.35
1747078896.2247946,32560514,3.08
1747078908.0287368,32560543,1.04
1747078922.4816341,32560582,1.38
1747078936.1348984,32560605,1.24
1747078951.3747175,32560636,1.55
1747078972.9057813,32560665,4.01
1747078986.3950405,32560694,1.22
1747079000.525959,32560738,1.32
1747079013.513938,32560761,1.15
1747079032.7691684,32560786,2.9
1747079052.7595868,32560817,3.23
1747079067.299483,32560849,1.4
1747079079.6369832,32560885,1.08
1747079102.675312,32560920,4.89
1747079118.8904872,32560945,1.81
1747079139.196037,32560993,3.37
1747079157.8184724,32561026,2.64
1747079175.7123513,32561069,2.35
1747079188.5517707,32561108,1.13
1747079203.5834627,32561144,1.5
1747079217.4312527,32561172,1.27
1747079240.0237653,32561195,4.62
1747079255.4466624,32561226,1.6
1747079268.190274,32561266,1.12
1747079283.615047,32561298,1.59
1747079301.9850457,32561318,2.53
1747079317.1199002,32561348,1.53
1747079334.5008285,32561381,2.17
1747079353.0711884,32561413,2.61
1747079367.9882646,32561452,1.47
1747079390.4280765,32561485,4.54
1747079406.3620782,32561512,1.73
1747079423.5068886,32561559,2.09
1747079438.8319893,32561594,1.57
1747079452.9613733,32561620,1.32
1747079468.0612278,32561649,1.52
1747079492.0583627,32561682,5.54
1747079512.8025806,32561711,3.61
1747079525.9443765,32561759,1.17
1747079553.0609806,32561797,7.86
1747079575.5150912,32561824,4.56
1747079591.7517543,32561880,1.81
1747079609.9482145,32561925,2.46
1747079637.5261927,32561957,8.26
1747079651.9578328,32561995,1.38
1747079671.186655,32562051,2.88
1747079693.1424599,32562082,4.26
1747079709.358487,32562124,1.81
1747079750.7680233,32562162,24.83
1747079774.1283064,32562193,5.12
1747079791.321753,32562273,2.11
1747079821.957641,32562321,11.11
1747079838.1704571,32562359,1.81
1747079872.6357768,32562415,15.29
1747079886.8127084,32562449,1.33
1747079897.3882542,32562509,1
1747079913.6123374,32562536,1.75
1747079946.5863042,32562560,13.56
1747079992.224295,32562593,31.82
1747080006.744299,32562653,1.39
1747080022.9856584,32562737,1.8
1747080039.811504,32562761,1.98
1747080058.7286716,32562794,2.75
1747080076.5975735,32562827,2.34
1747080097.9334736,32562862,3.91
1747080114.0563483,32562897,1.78
1747080128.3998525,32562939,1.34
1747080150.647533,32562975,4.42
1747080163.570203,32563004,1.14
1747080184.4885786,32563050,3.67
1747080200.019337,32563076,1.62
1747080224.4355927,32563115,5.79
1747080246.213256,32563144,4.17
1747080262.3010612,32563199,1.77
1747080275.6912007,32563236,1.2
1747080286.29661,32563268,1
1747080311.6970565,32563294,6.5
1747080327.3709755,32563316,1.66
1747080337.9426014,32563366,1
1747080348.503148,32563391,1
1747080363.1682034,32563410,1.42
1747080378.6785154,32563435,1.61
1747080391.7649817,32563465,1.16
1747080408.3264666,32563497,1.9
1747080421.3966086,32563524,1.16
1747080436.9144747,32563552,1.61
1747080452.4383473,32563580,1.62
1747080470.241166,32563609,2.32
1747080487.7022092,32563642,2.16
1747080500.8022432,32563678,1.18
1747080518.3106143,32563713,2.2
1747080531.2005444,32563740,1.12
1747080552.2822924,32563772,3.78
1747080568.387642,32563800,1.78
1747080580.7237425,32563843,1.08
1747080592.1563895,32563876,1.02
1747080604.7937224,32563892,1.11
1747080624.2226553,32563920,2.98
1747080666.0609374,32563946,25.5
1747080681.8001971,32563985,1.68
1747080696.528181,32564071,1.44
1747080713.456582,32564096,2.02
1747080733.770997,32564123,3.38
1747080746.3978117,32564158,1.11
1747080756.9575388,32564195,1
1747080788.921771,32564219,12.47
1747080814.9672606,32564243,7.02
1747080832.9824524,32564301,2.4
1747080851.115622,32564346,2.44
1747080866.875341,32564375,1.68
1747080892.0407424,32564407,6.29
1747080919.9769163,32564440,8.54
1747080947.1489904,32564487,7.93
1747080964.8432803,32564541,2.28
1747080988.7452774,32564593,5.47
1747081002.4975936,32564628,1.26
1747081015.503823,32564675,1.15
1747081031.19134,32564701,1.66
1747081052.2541938,32564727,3.74
1747081063.4300857,32564763,1.01
1747081084.5166304,32564801,3.77
1747081097.4409204,32564822,1.14
1747081110.5935931,32564869,1.17
1747081122.7234423,32564895,1.06
1747081152.309195,32564920,10.04
1747081168.646858,32564940,1.84
1747081206.5101566,32564997,19.65
1747081218.3058763,32565027,1.04
1747081229.4937363,32565100,1.01
1747081250.562921,32565120,3.76
1747081270.650017,32565146,3.28
1747081285.8457623,32565184,1.54
1747081300.7335634,32565223,1.47
1747081319.5231876,32565254,2.7
1747081335.5368192,32565285,1.75
1747081356.2000668,32565321,3.55
1747081373.9309194,32565351,2.3
1747081401.8035367,32565396,8.51
1747081416.2927592,32565430,1.37
1747081430.696606,32565484,1.37
1747081447.718666,32565512,2.04
1747081460.9230025,32565542,1.18
1747081479.3033237,32565573,2.53
1747081495.1543145,32565603,1.69
1747081517.3402371,32565637,4.36
1747081534.0903177,32565667,1.97
1747081547.2507095,32565710,1.17
1747081567.2040753,32565740,3.21
1747081586.1069367,32565761,2.75
1747081604.8714142,32565805,2.69
1747081619.035656,32565838,1.33
1747081640.1145875,32565879,3.76
1747081657.172885,32565907,2.05
1747081672.3169065,32565956,1.51
1747081696.6786785,32565985,5.77
1747081730.4755728,32566017,14.52
1747081746.931434,32566063,1.88
1747081759.421849,32566129,1.09
1747081787.5569127,32566158,8.72
1747081803.5619404,32566188,1.75
1747081817.0826187,32566241,1.22
1747081837.865855,32566275,3.62
1747081851.6295645,32566303,1.26
1747081863.2779243,32566341,1.03
1747081879.9046578,32566373,1.92
1747081908.74355,32566391,9.37
1747081938.4630094,32566425,10.21
1747081949.6286387,32566486,1.01
1747081972.6322653,32566542,4.84
1747081987.7010446,32566568,1.51
1747082018.0013855,32566611,10.76
1747082035.4553144,32566645,2.2
1747082048.010818,32566700,1.1
1747082076.844053,32566739,9.35
1747082090.5579987,32566759,1.25
1747082119.119078,32566811,9.1
1747082133.1193688,32566840,1.3
1747082154.0032508,32566882,3.67
1747082175.8818681,32566916,4.21
1747082212.4004073,32566958,17.8
1747082228.4168496,32567001,1.75
1747082259.818723,32567067,11.86
1747082277.8848193,32567100,2.42
1747082293.0860994,32567156,1.54
1747082311.121414,32567194,2.4
1747082342.9760833,32567223,12.36
1747082357.7915313,32567260,1.46
1747082389.0553722,32567321,11.72
1747082402.2757354,32567354,1.18
1747082417.7078812,32567412,1.59
1747082431.0971763,32567434,1.2
1747082447.312507,32567462,1.8
1747082462.2494044,32567490,1.47
1747082484.0332727,32567522,4.14
1747082497.106963,32567548,1.16
1747082510.1153853,32567594,1.15
1747082524.9065752,32567623,1.44
1747082538.7593834,32567645,1.27
1747082553.059749,32567674,1.35
1747082567.140445,32567705,1.31
1747082577.710614,32567730,1
1747082592.4491956,32567759,1.44
1747082612.765594,32567780,3.39
1747082633.526052,32567811,3.61
1747082648.302801,32567847,1.45
1747082665.1891007,32567888,2
1747082680.9858825,32567919,1.68
1747082698.4021025,32567953,2.17
1747082718.65354,32567980,3.35
1747082730.4565694,32568016,1.04
1747082743.7609923,32568052,1.19
1747082758.0234165,32568076,1.34
1747082780.7730029,32568102,4.73
